config_name,config_id,diffusion,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
DCI_Type2,13,"{'dU': 1.0, 'dV': 0.0, 'dW': 0.0}",500000,484620,475425,5803,5803,0,5803,0,1.2205921018036494,1.2205921018036494,0.0,0.0
CDD_Type2,4,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
CCD_Type2,7,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
DCC_Type3,2,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
DCI_Type3,14,"{'dU': 0.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,3217,3435,0,3254,181,0.6766577272966293,0.7225114371351948,0.0,0.038071199453120895
CDD_Type3,5,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,383,383,212,171,0,0.08055949939527791,0.08055949939527791,0.04459168112741232,0.04459168112741232
CCD_Type3,8,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,383,383,212,171,0,0.08055949939527791,0.08055949939527791,0.04459168112741232,0.04459168112741232
DCD_Type3,11,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,383,383,212,171,0,0.08055949939527791,0.08055949939527791,0.04459168112741232,0.04459168112741232
DCC_Type2,1,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,383,383,212,171,0,0.08055949939527791,0.08055949939527791,0.04459168112741232,0.04459168112741232
DCI_Type1,12,"{'dU': 1.0, 'dV': 10.0, 'dW': 0.0}",500000,484620,475425,207,212,36,170,6,0.04353999053478467,0.04459168112741232,0.007572172266919072,0.00883420097807225
CDD_Type1,3,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,74,74,74,0,0,0.015565020770889204,0.015565020770889204,0.015565020770889204,0.015565020770889204
DCC_Type1,0,"{'dU': 1.0, 'dV': 10.0, 'dW': 10.0}",500000,484620,475425,40,40,40,0,0,0.008413524741021191,0.008413524741021191,0.008413524741021191,0.008413524741021191
DCD_Type1,9,"{'dU': 1.0, 'dV': 10.0, 'dW': 1.0}",500000,484620,475425,34,34,33,0,1,0.007151496029868013,0.007151496029868013,0.006941157911342483,0.007151496029868013
CCD_Type1,6,"{'dU': 10.0, 'dV': 10.0, 'dW': 1.0}",500000,484620,475425,10,10,10,0,0,0.0021033811852552977,0.0021033811852552977,0.0021033811852552977,0.0021033811852552977
DCD_Type2,10,"{'dU': 1.0, 'dV': 0.0, 'dW': 1.0}",500000,484620,475425,5,5,5,0,0,0.0010516905926276489,0.0010516905926276489,0.0010516905926276489,0.0010516905926276489
